id,jee_main_score,jee_advanced_score,mock_test_score_avg,board,class_12_percent,attempt_count,coaching_institute,daily_study_hours,family_income,parent_education,location_type,peer_pressure_level,mental_health_issues,dropout,board_number,institute_number,income_numbers,PEd_number,loc_number,PPL_Number,MH_Number
ST5116,76.22,74.31,69.48,1,74.44,1,0,2.3,1,0,0,0,0,0,1,0,1,0,0,0,0
ST5117,71.51,92.77,73.34,1,86.63,2,2,8,1,3,2,2,0,0,1,2,1,3,2,2,0
ST5118,55.64,56.57,73.21,0,68.8,1,1,4.4,1,2,2,2,0,0,0,1,1,2,2,2,0
ST5119,88,40.68,58.96,1,82.07,1,3,3.6,2,1,1,0,0,0,1,3,2,1,1,0,0
ST5120,82.53,79.07,54.53,2,67.83,2,0,6.8,0,2,1,1,0,1,2,0,0,2,1,1,0
ST5121,83.07,43.91,98.04,1,65.34,2,3,4.5,0,2,0,2,0,1,1,3,0,2,0,2,0
ST5122,59.27,59.02,62.19,2,73.93,2,1,2.2,2,2,2,0,0,0,2,1,2,2,2,0,0
ST5123,91.64,61.88,76.39,0,68.35,1,3,4.6,2,2,0,0,0,0,0,3,2,2,0,0,0
ST5124,52.37,64.89,48.71,0,59.57,1,3,2.9,2,2,1,0,1,0,0,3,2,2,1,0,1
ST5125,80.22,77.03,64.64,1,73.18,2,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0
ST5126,100,55.06,66.47,2,76.06,2,3,2.7,2,2,2,2,1,0,2,3,2,2,2,2,1
ST5127,58.13,61.62,73.67,1,87.68,2,0,3.4,2,2,2,0,1,0,1,0,2,2,2,0,1
ST5128,64.07,65.77,35.33,1,84.37,2,1,2.2,0,2,1,2,1,0,1,1,0,2,1,2,1
ST5129,73.4,68.39,69.99,2,87.2,1,0,5.7,0,3,0,1,1,1,2,0,0,3,0,1,1
ST5130,64.95,67.57,54.2,2,82.2,2,3,2.9,1,0,0,0,1,0,2,3,1,0,0,0,1
ST5131,50.29,72.98,71.89,2,78.33,1,1,5.5,1,3,2,0,1,0,2,1,1,3,2,0,1
ST5132,72.96,79.5,55.56,2,62.71,2,2,2,1,2,1,1,0,0,2,2,1,2,1,1,0
ST5133,57.13,72.28,57.73,2,76.5,2,2,6.3,1,3,2,0,1,0,2,2,1,3,2,0,1
ST5134,78.63,73.26,64.72,0,80.97,1,1,1.9,2,1,2,2,1,1,0,1,2,1,2,2,1
ST5135,59.13,40.68,55.37,0,89.57,2,1,0,2,1,1,1,0,0,0,1,2,1,1,1,0
ST5136,93.7,66.8,62.29,0,81.86,2,3,7,1,1,2,1,1,0,0,3,1,1,2,1,1
ST5137,61.03,73.67,53.68,2,87.4,2,2,2.8,1,0,0,2,1,0,2,2,1,0,0,2,1
ST5138,67.49,77.66,46,2,64.68,1,1,8,0,1,0,2,0,1,2,1,0,1,0,2,0
ST5139,83.39,54.92,80.22,2,71.74,1,2,5.6,0,0,0,1,1,0,2,2,0,0,0,1,1
ST5140,54.77,55.46,52.45,1,79.29,2,2,6.1,0,1,2,0,0,1,1,2,0,1,2,0,0
ST5141,75.18,56.81,65.86,0,86.61,2,3,6.6,1,3,1,2,0,0,0,3,1,3,1,2,0
ST5142,90.3,74.58,77.03,0,73.55,1,1,4.7,0,3,1,2,1,0,0,1,0,3,1,2,1
ST5143,49.5,82.54,60.62,1,74.18,1,0,4.7,1,3,1,2,1,0,1,0,1,3,1,2,1
ST5144,74.58,59.48,58.1,1,81.87,1,1,7.1,2,3,1,1,1,0,1,1,2,3,1,1,1
ST5145,75.64,80.53,70.71,0,63.74,2,2,4.7,1,0,1,0,1,0,0,2,1,0,1,0,1
ST5146,82.95,67.98,81.42,2,91.07,2,0,3,2,1,2,2,0,0,2,0,2,1,2,2,0
ST5147,54.68,64.01,53.97,0,66.21,2,0,5.7,2,2,1,1,0,0,0,0,2,2,1,1,0
ST5148,53.51,62.62,66.2,2,55.81,2,2,0.3,1,3,0,1,0,0,2,2,1,3,0,1,0
ST5149,79.31,77.95,47.21,0,75.1,1,0,7.1,0,1,2,0,1,0,0,0,0,1,2,0,1
ST5150,76.16,71.21,63.28,0,91.98,1,0,7.2,1,1,0,1,1,0,0,0,1,1,0,1,1
ST5151,75.51,100,68.41,1,80.86,1,1,6.9,0,1,1,1,1,0,1,1,0,1,1,1,1
ST5152,76.85,52.36,57.74,1,82.51,2,2,6.8,2,2,1,2,1,0,1,2,2,2,1,2,1
ST5153,62.48,74.29,62.52,2,75.41,1,3,4.3,2,3,0,2,1,0,2,3,2,3,0,2,1
ST5154,75.25,57.53,51.1,2,73.48,2,0,4.3,2,0,0,2,0,0,2,0,2,0,0,2,0
ST5155,76.1,52.09,68.92,0,59.55,1,2,2,2,0,2,1,0,0,0,2,2,0,2,1,0
ST5156,62,65.83,80.67,1,52.41,2,1,8,1,2,1,0,0,0,1,1,1,2,1,0,0
ST5157,98.12,68.2,54.83,2,76.96,2,1,3.5,2,2,1,0,0,0,2,1,2,2,1,0,0
ST5158,78.63,100,60.53,2,88.13,1,1,5.2,0,0,1,0,0,1,2,1,0,0,1,0,0
ST5159,55.32,63.05,74.03,2,78.44,1,0,5,0,0,0,1,1,0,2,0,0,0,0,1,1
ST5160,81.19,47.92,82.55,0,81.24,1,3,1.8,2,3,1,2,0,1,0,3,2,3,1,2,0
ST5161,58.35,70.37,50.08,2,90.84,1,1,1,1,0,2,1,0,0,2,1,1,0,2,1,0
ST5162,83.02,32.81,65.97,2,78.29,1,3,4.5,2,0,2,2,0,0,2,3,2,0,2,2,0
ST5163,88.22,64.53,71.4,1,73.77,1,2,3.6,2,0,0,1,1,0,1,2,2,0,0,1,1
ST5164,60.51,66.26,66.78,1,66.81,2,1,4.3,0,2,0,1,1,1,1,1,0,2,0,1,1
ST5165,85.49,78.71,38.28,1,95.22,1,0,6.6,1,0,2,0,0,0,1,0,1,0,2,0,0
ST5166,77.78,81.58,74.01,0,80.27,2,1,4.9,1,0,0,1,1,0,0,1,1,0,0,1,1
ST5167,83.51,57.94,86.23,1,65.56,2,0,6,0,3,0,0,1,1,1,0,0,3,0,0,1
ST5168,98.56,63.59,69.4,1,63.29,2,2,5.4,0,1,1,1,0,0,1,2,0,1,1,1,0
ST5169,68.56,53.74,55.63,1,87.53,1,3,3.9,0,2,2,0,1,1,1,3,0,2,2,0,1
ST5170,61.45,47.95,61.84,1,64.63,1,3,2.5,1,2,1,1,1,0,1,3,1,2,1,1,1
ST5171,59.55,70.96,89.24,2,93.54,1,3,5,0,3,2,1,1,1,2,3,0,3,2,1,1
ST5172,60.58,45.62,78.92,0,50,1,1,4.7,0,0,1,2,0,0,0,1,0,0,1,2,0
ST5173,70.92,59.37,75.68,2,89.23,1,1,6.3,0,1,2,2,0,0,2,1,0,1,2,2,0
ST5174,76.78,50.08,72.28,2,79.87,1,2,4.2,2,3,2,2,0,0,2,2,2,3,2,2,0
ST5175,75.87,74.79,60.07,0,76.19,2,3,3.9,1,1,2,1,1,0,0,3,1,1,2,1,1
ST5176,83.58,94.82,65.59,2,73.25,2,2,4,1,0,0,2,0,0,2,2,1,0,0,2,0
ST5177,72.18,45.17,67.06,1,93.91,2,0,2.7,2,1,1,2,1,0,1,0,2,1,1,2,1
ST5178,92.35,36.35,74.59,0,82.07,2,1,7.4,1,3,0,1,1,0,0,1,1,3,0,1,1
ST5179,68.29,64,86.11,2,65.97,2,3,6.8,0,0,0,1,0,0,2,3,0,0,0,1,0
ST5180,100,66.25,81.42,2,57.81,1,1,2.1,2,2,2,2,0,0,2,1,2,2,2,2,0
ST5181,80.76,69.5,50.97,1,76.77,1,3,6.1,0,1,2,2,1,0,1,3,0,1,2,2,1
ST5182,60,58.86,70.69,2,74.99,2,3,0.8,0,0,0,1,1,0,2,3,0,0,0,1,1
ST5183,57.01,62.79,76.84,2,59.8,2,1,6.5,0,0,0,1,0,0,2,1,0,0,0,1,0
ST5184,78.75,71.88,75.43,2,74.45,2,1,3.1,0,3,0,0,0,0,2,1,0,3,0,0,0
ST5185,68.87,82.65,60.45,0,69.26,1,2,5.2,1,0,2,0,1,0,0,2,1,0,2,0,1
ST5186,82,34.72,100,0,75.09,1,1,0.6,2,3,2,1,1,0,0,1,2,3,2,1,1
ST5187,78.63,60.1,52.67,2,82.26,1,1,2.1,2,2,2,1,0,0,2,1,2,2,2,1,0
ST5188,70.98,69.42,55,2,89.93,1,1,5.4,0,1,1,2,1,1,2,1,0,1,1,2,1
ST5189,60.14,51.31,70.8,1,84.09,1,0,3.1,2,2,0,0,1,0,1,0,2,2,0,0,1
ST5190,50.79,93.7,93.4,0,67.79,1,0,2.8,2,3,0,2,1,0,0,0,2,3,0,2,1
ST5191,65.75,55.83,57.97,0,78.69,1,0,7.3,0,2,1,0,1,1,0,0,0,2,1,0,1
ST5192,83.99,65.34,64.81,0,75.63,2,2,8.9,0,1,0,2,0,0,0,2,0,1,0,2,0
ST5193,75,74.9,80.93,2,61.68,2,2,6.4,1,2,0,0,0,0,2,2,1,2,0,0,0
ST5194,54.56,56.54,67.79,1,78.98,1,3,2.3,1,0,0,1,0,0,1,3,1,0,0,1,0
ST5195,74.42,36.45,63.98,1,93.57,2,2,8,0,1,1,1,1,0,1,2,0,1,1,1,1
ST5196,77.39,59.14,74.79,2,75.32,1,1,1.4,1,2,1,1,1,0,2,1,1,2,1,1,1
ST5197,59.63,82.47,71.27,2,59.06,2,3,3.9,1,1,0,2,0,0,2,3,1,1,0,2,0
ST5198,74.15,60.61,80.37,1,75.3,1,1,4.6,2,2,2,0,1,0,1,1,2,2,2,0,1
ST5199,72.81,52.46,83.5,1,62.86,1,3,8.3,0,0,0,2,1,1,1,3,0,0,0,2,1
ST5200,56,80.81,71.68,0,83.64,2,2,6.3,2,3,0,1,1,0,0,2,2,3,0,1,1
ST5201,77.01,60.71,71.5,2,80.25,1,0,3.6,2,2,2,0,0,0,2,0,2,2,2,0,0
ST5202,79.85,57.84,70.57,0,73.29,2,1,2.6,0,1,0,0,1,0,0,1,0,1,0,0,1
ST5203,87.16,68.39,73.87,1,71.69,1,3,6.5,2,2,0,2,1,0,1,3,2,2,0,2,1
ST5204,86.75,78.33,68.66,0,72.88,2,0,3.4,1,3,1,1,0,0,0,0,1,3,1,1,0
ST5205,52.71,100,67.99,1,75.08,1,1,4.9,1,0,0,2,0,0,1,1,1,0,0,2,0
ST5206,58.87,79.24,82.36,1,67.28,2,1,1.8,1,0,2,2,0,1,1,1,1,0,2,2,0
ST5207,79.21,84.56,86.19,0,61.12,1,0,5.6,1,3,1,1,1,0,0,0,1,3,1,1,1
ST5208,79.19,57.9,49.91,2,86.39,2,2,5.5,1,0,1,1,0,0,2,2,1,0,1,1,0
ST5209,79.21,49.59,68.12,0,71.15,2,0,2,2,2,2,2,1,0,0,0,2,2,2,2,1
ST5210,100,67,59.74,0,76.67,2,2,6.6,0,1,2,0,0,0,0,2,0,1,2,0,0
ST5211,79.99,67.71,64.27,2,77.85,2,3,5.6,2,2,1,1,0,0,2,3,2,2,1,1,0
ST5212,87.9,48.74,72.83,2,78.22,1,2,6,2,3,0,1,0,0,2,2,2,3,0,1,0
ST5213,85.36,63.2,76.03,0,63.26,2,3,3.7,1,2,0,1,0,0,0,3,1,2,0,1,0
ST5214,81.12,72.39,66.65,1,58.24,1,3,4.9,1,2,1,1,1,0,1,3,1,2,1,1,1
ST5215,67.59,71.77,45.04,0,69.11,1,3,4.6,2,3,0,0,1,0,0,3,2,3,0,0,1
ST5216,82.63,74.07,56.42,1,78.96,1,3,4.2,2,1,1,0,1,0,1,3,2,1,1,0,1
ST5217,61.18,70.66,78.76,2,67.72,1,1,4.8,0,0,2,2,0,1,2,1,0,0,2,2,0
ST5218,68.68,57.89,35.11,2,71.45,1,3,7,0,3,0,2,1,1,2,3,0,3,0,2,1
ST5219,65.2,57.78,82.25,1,96.27,1,1,6.6,0,0,0,1,0,1,1,1,0,0,0,1,0
ST5220,73.15,46.82,74.25,0,56.55,1,1,2.1,0,0,1,2,0,0,0,1,0,0,1,2,0
ST5221,100,94.56,83.79,2,67.45,1,3,6.5,0,3,1,0,1,0,2,3,0,3,1,0,1
ST5222,45.86,66.22,65.62,1,93.97,2,2,6.9,1,1,0,1,0,0,1,2,1,1,0,1,0
ST5223,81.61,62.4,43.26,1,74.55,2,2,4.2,0,3,0,1,0,1,1,2,0,3,0,1,0
ST5224,49.42,51.14,73.16,0,67.94,1,0,5.5,2,3,0,1,0,0,0,0,2,3,0,1,0
ST5225,65.39,100,83.3,1,86.69,2,1,5.5,1,2,2,2,0,0,1,1,1,2,2,2,0
ST5226,87.25,48.83,79.1,1,75.55,2,1,2.8,2,2,0,1,0,0,1,1,2,2,0,1,0
ST5227,72.9,59.14,60.05,0,71.52,1,2,3.7,1,3,0,1,1,0,0,2,1,3,0,1,1
ST5228,56.91,72.65,69.04,2,76.92,2,1,6,1,2,1,0,1,0,2,1,1,2,1,0,1
ST5229,61.99,75.6,61.61,2,68.42,2,2,3.5,0,1,2,1,0,0,2,2,0,1,2,1,0
ST5230,81.51,81.33,58.17,2,64.83,2,0,6.5,2,2,1,2,0,0,2,0,2,2,1,2,0
ST5231,61.77,94.92,79.46,1,73.86,1,3,7.1,0,1,0,1,1,1,1,3,0,1,0,1,1
ST5232,75.03,74.1,53.63,1,64.89,1,3,6.8,2,0,2,2,0,0,1,3,2,0,2,2,0
ST5233,72.64,49.1,57.27,0,75.11,2,3,8.5,2,0,0,0,1,0,0,3,2,0,0,0,1
ST5234,62.88,61.89,54.75,1,78.54,1,0,4.3,0,1,2,0,1,1,1,0,0,1,2,0,1
ST5235,100,70.93,50.12,1,83.53,1,1,4.9,0,0,2,1,0,0,1,1,0,0,2,1,0
ST5236,80.87,99.09,69.76,2,86.28,2,0,5.1,1,1,2,0,0,0,2,0,1,1,2,0,0
ST5237,43.65,43.64,81.94,1,70.94,2,1,4.4,1,3,2,1,0,0,1,1,1,3,2,1,0
ST5238,74.61,85.24,65.78,1,79.99,2,1,5.6,1,2,2,0,1,0,1,1,1,2,2,0,1
ST5239,62.73,68.88,49.93,1,79.93,2,3,1.1,2,0,2,0,1,0,1,3,2,0,2,0,1
ST5240,83.93,79.41,78.08,0,78.28,1,2,4.9,0,0,1,2,0,1,0,2,0,0,1,2,0
ST5241,60.9,64.37,88.23,1,70.21,1,2,1.7,1,3,1,2,0,1,1,2,1,3,1,2,0
ST5242,70.39,52.52,60.25,0,64.72,1,3,2.6,0,2,0,1,1,1,0,3,0,2,0,1,1
ST5243,79.07,78.01,62.26,2,80.02,1,1,6,1,2,2,1,1,0,2,1,1,2,2,1,1
